,rut,periodo,archive,predictor1_7,predictor1_8,predictor1_9,predictor1_10,predictor1_11,predictor1_12,ignite_ise,ind_compra_paga
557,TudRHnZGVm,202001.0,20200131.0,681.0,681.0,676.0,676.0,676.0,676.0,E,0.0
558,RCKunrYqpF,202002.0,20200229.0,650.0,650.0,650.0,650.0,650.0,650.0,C3,0.0
559,BlnESFMZKN,201807.0,20180731.0,,,,,,,E,0.0
560,sr16WjxmrF,201812.0,20181231.0,,,,,,,D,0.0
561,ROx8WdTXll,201902.0,20190228.0,749.0,,,,,,C3,0.0
562,Po9j9Vclys,201810.0,20181031.0,,,,,,,E,0.0
563,0sEC3LK3hd,201910.0,20191031.0,757.0,753.0,753.0,753.0,753.0,753.0,D,0.0
564,lXOL74oENH,201912.0,20191231.0,474.0,474.0,474.0,617.0,617.0,573.0,C2,0.0
565,apOtHF7bF4,201809.0,20180930.0,,,,,,,E,0.0
566,khxDEe79Wj,202002.0,20200229.0,575.0,575.0,662.0,662.0,657.0,657.0,E,0.0
567,5LdRDAUJDK,201808.0,20180831.0,,,,,,,Z,0.0
568,Mc6OYnGV4z,201807.0,20180731.0,,,,,,,D,0.0
569,tlYldnbKBU,201912.0,20191231.0,539.0,756.0,756.0,623.0,753.0,753.0,C3,0.0
570,xV0DjZNtll,201812.0,20181231.0,,,,,,,C1b,0.0
571,dR3NjUa3Lh,201812.0,20181231.0,,,,,,,C2,0.0
572,63aA6ez7bs,202002.0,20200229.0,769.0,800.0,800.0,800.0,735.0,735.0,D,0.0
573,PIfW1HpbBu,201905.0,20190531.0,728.0,724.0,724.0,724.0,,,E,0.0
574,PJ5CDbWTPo,202001.0,20200131.0,668.0,668.0,668.0,668.0,668.0,668.0,D,0.0
575,u0f5Wo4LhU,201902.0,20190228.0,542.0,,,,,,D,0.0
576,2c5lMoATuv,201902.0,20190228.0,506.0,,,,,,C3,0.0
577,fZHGWMyWhg,201909.0,20190930.0,484.0,362.0,206.0,136.0,163.0,212.0,D,0.0
578,PHJsiIv7pf,201809.0,20180930.0,,,,,,,C3,0.0
579,LK5qN8f40B,201902.0,20190228.0,701.0,,,,,,C3,0.0
